BAIRRO,VALOR,AREA,QUARTOS,VALOR_M2,LOG_VALOR_M2
ASA NORTE,1400000.0,141.0,2.0,9929.078014184397,9.20332361342169
NOROESTE,1395000.0,85.0,2.0,16411.764705882353,9.705814646790655
AGUAS CLARAS,850000.0,90.0,3.0,9444.444444444445,9.153287834884035
GUARA,850000.0,68.0,2.0,12500.0,9.433563920090563
LAGO NORTE,2290000.0,411.0,4.0,5571.776155717762,8.625648620912834
ASA NORTE,1430000.0,100.0,3.0,14300.0,9.568084743872936
JARDIM BOTANICO,1400000.0,200.0,3.0,7000.0,8.853808274977197
JARDIM BOTANICO,2100000.0,794.0,4.0,2644.8362720403024,7.8807424652246185
AGUAS CLARAS,670000.0,75.0,3.0,8933.333333333334,9.097656811864498
NOROESTE,2600000.0,155.0,3.0,16774.1935483871,9.727656499680153
AGUAS CLARAS,1380000.0,165.0,4.0,8363.636363636364,9.031768141302848
SUDOESTE,1420000.0,97.0,3.0,14639.175257731958,9.591524758600203
AGUAS CLARAS,1990000.0,216.0,4.0,9212.962962962964,9.128475325839744
AGUAS CLARAS,1659000.0,210.0,4.0,7900.0,8.974744612722734
AGUAS CLARAS,880000.0,100.0,3.0,8800.0,9.082620630373812
ASA NORTE,1120000.0,75.0,2.0,14933.333333333334,9.611418091778674
NOROESTE,1240000.0,83.0,2.0,14939.759036144578,9.611848263028413
GUARA,1617902.0,127.0,4.0,12739.385826771653,9.452532213343536
ASA NORTE,1690000.0,112.0,3.0,15089.285714285714,9.621806485597606
AGUAS CLARAS,1890000.0,223.0,3.0,8475.336322869955,9.045033598033491
ASA NORTE,1690000.0,135.0,3.0,12518.518518518518,9.435044186927263
AGUAS CLARAS,1200000.0,103.0,3.0,11650.485436893205,9.363188956178456
AGUAS CLARAS,365000.0,60.0,2.0,6083.333333333333,8.713472440394675
JARDIM BOTANICO,1100000.0,240.0,3.0,4583.333333333333,8.430399972446597
GUARA,450000.0,62.0,2.0,7258.064516129032,8.890006244988703
AGUAS CLARAS,1085265.0,84.0,3.0,12919.82142857143,9.466595353378398
AGUAS CLARAS,1200000.0,119.0,3.0,10084.033613445377,9.218807783396677
AGUAS CLARAS,860000.0,106.0,3.0,8113.207547169812,9.001371822336203
AGUAS CLARAS,1290000.0,130.0,3.0,9923.076923076924,9.202719095998592
ASA SUL,1100000.0,76.0,2.0,14473.684210526315,9.580156486004691
ASA SUL,3200000.0,211.0,4.0,15165.876777251186,9.626869169620107
AGUAS CLARAS,790000.0,101.0,3.0,7821.782178217822,8.964795547531338
ASA SUL,2500000.0,170.0,3.0,14705.882352941177,9.596070850476272
NOROESTE,2060000.0,126.0,3.0,16349.20634920635,9.701995796992325
AGUAS CLARAS,1670000.0,168.0,3.0,9940.47619047619,9.204470798732354
AGUAS CLARAS,880000.0,140.0,3.0,6285.714285714285,8.74619384210056
ASA NORTE,1600000.0,126.0,3.0,12698.412698412698,9.449311027157913
NOROESTE,2200000.0,124.0,3.0,17741.935483870966,9.7837427147715
NOROESTE,2480000.0,141.0,3.0,17588.652482269503,9.775066080985532
ASA NORTE,1420000.0,94.0,3.0,15106.382978723404,9.622938842299602
NOROESTE,1240000.0,84.0,2.0,14761.904761904761,9.599872878379008
ASA NORTE,1750000.0,130.0,3.0,13461.538461538461,9.507666178399353
AGUAS CLARAS,839000.0,87.0,2.0,9643.67816091954,9.174161556293669
JARDIM BOTANICO,1100000.0,240.0,3.0,4583.333333333333,8.430399972446597
SUDOESTE,3190000.0,244.0,4.0,13073.77049180328,9.478439735570902
NOROESTE,3150000.0,208.0,4.0,15144.23076923077,9.62544096066653
LAGO NORTE,2690000.0,448.0,4.0,6004.464285714285,8.700425048047261
LAGO NORTE,2950000.0,527.0,4.0,5597.722960151803,8.630293807887485
SUDOESTE,2750000.0,216.0,4.0,12731.481481481482,9.451911604328602
NOROESTE,2450000.0,169.0,2.0,14497.041420118343,9.581768844810691
AGUAS CLARAS,565000.0,71.0,3.0,7957.7464788732395,8.982026788909053
ASA NORTE,1400000.0,141.0,2.0,9929.078014184397,9.20332361342169
NOROESTE,1320000.0,70.0,2.0,18857.14285714286,9.844700081410169
AGUAS CLARAS,1740000.0,150.0,3.0,11600.0,9.358846580275406
AGUAS CLARAS,505000.0,70.0,3.0,7214.285714285715,8.883957070463511
AGUAS CLARAS,2150000.0,162.0,3.0,13271.604938271605,9.49345741087009
AGUAS CLARAS,970000.0,104.0,3.0,9326.923076923076,9.14076766208576
ASA SUL,860000.0,86.0,3.0,10000.0,9.210440366976517
ASA SUL,3100000.0,210.0,4.0,14761.904761904761,9.599872878379008
SUDOESTE,1920000.0,145.0,4.0,13241.379310344828,9.491177519565168
NOROESTE,1595000.0,97.0,1.0,16443.298969072166,9.707734128895561
GUARA,599000.0,62.0,2.0,9661.290322580646,9.175985992539207
AGUAS CLARAS,1395000.0,212.0,2.0,6580.188679245283,8.791970658345283
LAGO NORTE,580000.0,66.0,1.0,8787.878787878788,9.08124242712568
ASA SUL,2500000.0,178.0,3.0,14044.943820224718,9.550088937011743
AGUAS CLARAS,920000.0,116.0,4.0,7931.0344827586205,8.978664836927088
AGUAS CLARAS,1090000.0,129.0,4.0,8449.612403100775,9.04199419146486
ASA NORTE,1550000.0,117.0,3.0,13247.863247863248,9.491667035119876
JARDIM BOTANICO,1790000.0,360.0,4.0,4972.222222222223,8.51182324346384
SUDOESTE,2310000.0,126.0,3.0,18333.333333333332,9.816530719513494
AGUAS CLARAS,590000.0,74.0,1.0,7972.972972972973,8.983938138541648
ASA SUL,1320000.0,100.0,3.0,13200.0,9.488047863280759
PARK SUL,1850000.0,116.0,2.0,15948.275862068966,9.677168706685114
LAGO NORTE,2650000.0,417.0,4.0,6354.916067146283,8.75714132227462
AGUAS CLARAS,819000.0,104.0,4.0,7875.0,8.971575439759016
ASA SUL,2200000.0,178.0,3.0,12359.550561797752,9.422265273854403
AGUAS CLARAS,950000.0,163.0,2.0,5828.2208588957055,8.670638626999345
ASA NORTE,2099000.0,168.0,4.0,12494.047619047618,9.43308765431002
AGUAS CLARAS,840006.0,62.0,2.0,13548.483870967742,9.51410373487889
JARDIM BOTANICO,1750000.0,436.0,4.0,4013.761467889908,8.297733214376878
LAGO NORTE,990000.0,71.0,2.0,13943.661971830987,9.54285205966962
AGUAS CLARAS,875000.0,127.0,3.0,6889.763779527559,8.837937211206098
NOROESTE,3490000.0,204.0,3.0,17107.843137254902,9.747350751348163
ASA NORTE,1660000.0,123.0,3.0,13495.934959349594,9.51021789860085
AGUAS CLARAS,650000.0,83.0,3.0,7831.325301204819,8.966014718230946
ASA SUL,1450000.0,136.0,3.0,10661.764705882353,9.274513017365855
LAGO SUL,2990000.0,480.0,4.0,6229.166666666667,8.737158363697606
AGUAS CLARAS,1050000.0,103.0,3.0,10194.174757281553,9.229669824331141
NOROESTE,3290000.0,214.0,4.0,15373.831775700935,9.640487151197036
NOROESTE,3140000.0,166.0,3.0,18915.66265060241,9.84779843437256
SOBRADINHO,650000.0,192.0,3.0,3385.4166666666665,8.127527610841977
SOBRADINHO,727000.0,210.0,3.0,3461.904761904762,8.149863042408526
NOROESTE,2444000.0,175.0,3.0,13965.714285714286,9.544432226714656
JARDIM BOTANICO,1390000.0,260.0,3.0,5346.153846153846,8.584319706959322
AGUAS CLARAS,799000.0,81.0,3.0,9864.197530864198,9.196768441658602
SOBRADINHO,689000.0,95.0,3.0,7252.631578947368,8.889257529877483
NOROESTE,1780000.0,110.0,3.0,16181.818181818182,9.691705352319259
VICENTE PIRES,2980000.0,500.0,4.0,5960.0,8.692993531219926
JARDIM BOTANICO,2100000.0,294.0,4.0,7142.857142857143,8.874008125555884
AGUAS CLARAS,840000.0,97.0,3.0,8659.79381443299,9.066561661839728
ARNIQUEIRA,2300000.0,400.0,4.0,5750.0,8.657129031713755
ARNIQUEIRA,1500000.0,330.0,3.0,4545.454545454545,8.422102987415462
AGUAS CLARAS,1790000.0,180.0,3.0,9944.444444444445,9.204869880530262
TAGUATINGA,665000.0,103.0,2.0,6456.310679611651,8.772968206632614
TAGUATINGA,680000.0,250.0,4.0,2720.0,7.908754738783246
AGUAS CLARAS,655000.0,60.0,2.0,10916.666666666666,9.29813755125342
JARDIM BOTANICO,1690000.0,351.0,4.0,4814.814814814815,8.479660534176022
AGUAS CLARAS,583284.0,63.0,2.0,9258.47619047619,9.133402759137038
ASA SUL,1560000.0,120.0,3.0,13000.0,9.472781556562168
JARDIM BOTANICO,1950000.0,340.0,4.0,5735.294117647059,8.654568656705322
JARDIM BOTANICO,2590000.0,240.0,3.0,10791.666666666666,9.286622170133342
