BAIRRO,VALOR,AREA,QUARTOS
ASA NORTE,1400000.0,141.0,2.0
SUDOESTE,1529000.0,79.0,2.0
NOROESTE,1395000.0,85.0,2.0
AGUAS CLARAS,450000.0,58.0,2.0
SUDOESTE,3580000.0,186.0,4.0
AGUAS CLARAS,850000.0,90.0,3.0
GUARA,850000.0,68.0,2.0
ASA NORTE,1500000.0,74.0,2.0
ASA NORTE,1390000.0,73.0,2.0
LAGO NORTE,2290000.0,411.0,4.0
TAGUATINGA,330000.0,50.0,2.0
ASA NORTE,1430000.0,100.0,3.0
JARDIM BOTANICO,1400000.0,200.0,3.0
JARDIM BOTANICO,2100000.0,794.0,4.0
AGUAS CLARAS,670000.0,75.0,3.0
NOROESTE,2600000.0,155.0,3.0
AGUAS CLARAS,1380000.0,165.0,4.0
SUDOESTE,1420000.0,97.0,3.0
AGUAS CLARAS,1990000.0,216.0,4.0
LAGO NORTE,2100000.0,500.0,6.0
AGUAS CLARAS,1659000.0,210.0,4.0
AGUAS CLARAS,880000.0,100.0,3.0
ASA NORTE,1120000.0,75.0,2.0
NOROESTE,1240000.0,83.0,2.0
GUARA,1617902.0,127.0,4.0
ASA NORTE,1690000.0,112.0,3.0
AGUAS CLARAS,1890000.0,223.0,3.0
ASA NORTE,1690000.0,135.0,3.0
AGUAS CLARAS,1200000.0,103.0,3.0
AGUAS CLARAS,365000.0,60.0,2.0
PARK WAY,4400000.0,682.0,4.0
JARDIM BOTANICO,1100000.0,240.0,3.0
GUARA,450000.0,62.0,2.0
AGUAS CLARAS,1085265.0,84.0,3.0
AGUAS CLARAS,1200000.0,119.0,3.0
NOROESTE,850000.0,48.0,1.0
AGUAS CLARAS,860000.0,106.0,3.0
NOROESTE,2280000.0,114.0,3.0
AGUAS CLARAS,1290000.0,130.0,3.0
ASA SUL,1100000.0,76.0,2.0
ASA SUL,3200000.0,211.0,4.0
AGUAS CLARAS,790000.0,101.0,3.0
ASA SUL,2500000.0,170.0,3.0
NOROESTE,2060000.0,126.0,3.0
JARDIM BOTANICO,2850000.0,535.0,5.0
AGUAS CLARAS,1670000.0,168.0,3.0
AGUAS CLARAS,880000.0,140.0,3.0
LAGO SUL,3490000.0,590.0,5.0
ASA NORTE,1600000.0,126.0,3.0
LAGO SUL,15500000.0,600.0,5.0
NOROESTE,2200000.0,124.0,3.0
NOROESTE,2480000.0,141.0,3.0
ASA NORTE,1420000.0,94.0,3.0
NOROESTE,1240000.0,84.0,2.0
ASA NORTE,1750000.0,130.0,3.0
AGUAS CLARAS,6404289.0,463.0,4.0
AGUAS CLARAS,839000.0,87.0,2.0
LAGO SUL,4800000.0,623.0,5.0
JARDIM BOTANICO,1100000.0,240.0,3.0
SUDOESTE,3190000.0,244.0,4.0
NOROESTE,3150000.0,208.0,4.0
LAGO NORTE,2690000.0,448.0,4.0
LAGO NORTE,2950000.0,527.0,4.0
SUDOESTE,2750000.0,216.0,4.0
NOROESTE,2450000.0,169.0,2.0
LAGO SUL,19500000.0,925.0,4.0
AGUAS CLARAS,565000.0,71.0,3.0
ASA NORTE,1400000.0,141.0,2.0
NOROESTE,1320000.0,70.0,2.0
AGUAS CLARAS,1740000.0,150.0,3.0
AGUAS CLARAS,505000.0,70.0,3.0
AGUAS CLARAS,2150000.0,162.0,3.0
AGUAS CLARAS,970000.0,104.0,3.0
LAGO SUL,8200000.0,597.0,4.0
GUARA,749000.0,56.0,2.0
NOROESTE,5850000.0,404.0,4.0
ASA SUL,860000.0,86.0,3.0
AGUAS CLARAS,576526.0,37.0,1.0
ASA SUL,3100000.0,210.0,4.0
SUDOESTE,1920000.0,145.0,4.0
TAQUARI,3200000.0,476.0,4.0
LAGO SUL,4500000.0,800.0,4.0
AGUAS CLARAS,389000.0,39.0,2.0
LAGO NORTE,4700000.0,621.0,5.0
NOROESTE,1595000.0,97.0,1.0
LAGO NORTE,6500000.0,593.0,5.0
GUARA,599000.0,62.0,2.0
LAGO SUL,6600000.0,620.0,5.0
LAGO NORTE,5200000.0,636.0,4.0
AGUAS CLARAS,1395000.0,212.0,2.0
ASA NORTE,10000000.0,673.0,4.0
NOROESTE,900000.0,56.0,2.0
LAGO NORTE,580000.0,66.0,1.0
ASA SUL,2500000.0,178.0,3.0
AGUAS CLARAS,920000.0,116.0,4.0
AGUAS CLARAS,1090000.0,129.0,4.0
ASA NORTE,1550000.0,117.0,3.0
JARDIM BOTANICO,1790000.0,360.0,4.0
SUDOESTE,2310000.0,126.0,3.0
LAGO SUL,4780000.0,584.0,4.0
NOROESTE,4190000.0,246.0,4.0
AGUAS CLARAS,590000.0,74.0,1.0
LAGO SUL,22000000.0,1080.0,5.0
ASA SUL,1320000.0,100.0,3.0
LAGO SUL,5600000.0,700.0,4.0
PARK SUL,1850000.0,116.0,2.0
LAGO NORTE,2650000.0,417.0,4.0
AGUAS CLARAS,819000.0,104.0,4.0
ASA SUL,2200000.0,178.0,3.0
AGUAS CLARAS,950000.0,163.0,2.0
NOROESTE,2156000.0,113.0,3.0
ASA NORTE,2099000.0,168.0,4.0
LAGO NORTE,3250000.0,477.0,5.0
PARK WAY,4100000.0,780.0,4.0
AGUAS CLARAS,840006.0,62.0,2.0
JARDIM BOTANICO,1750000.0,436.0,4.0
LAGO NORTE,990000.0,71.0,2.0
LAGO SUL,3500000.0,671.0,5.0
NOROESTE,3690000.0,262.0,4.0
AGUAS CLARAS,875000.0,127.0,3.0
NOROESTE,3490000.0,204.0,3.0
NOROESTE,4500000.0,205.0,3.0
NOROESTE,3575000.0,205.0,3.0
LAGO NORTE,2500000.0,444.0,5.0
ASA NORTE,1660000.0,123.0,3.0
NOROESTE,3690000.0,262.0,4.0
AGUAS CLARAS,650000.0,83.0,3.0
